"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@IrvinThulanii","Irvin and Irvin","En ek wonder wanneer ons ooit gaan verander, verander lewe onder die vrees 'Totdat niks anders oorbly nie. Ons hoef nie die pad te ken nie, al wat ons wil hê is die lewe daarbuite. #ExpressoShow 🤠#Samke 😎 #ChrisExcel 🇿🇦#sowetoshutdown","1","0","0","1655883203000","22 Jun 2022","IrvinThulanii/status/1539511855252746241","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ExpressoShow | Samke | ChrisExcel | sowetoshutdown"
"@thebiggirlcheck","Mims","Can you move out before the lease has expired if you have valid reasons? #Bahumi #matennas #ChrisExcel","1","0","0","1655918470000","22 Jun 2022","thebiggirlcheck/status/1539659774752886784","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Bahumi | matennas | ChrisExcel"
"@LeshMou","Mosa Leshilo","Even the most unexpected person can stab you in the back. #Nota #Salary #ChrisExcel #JuliusMalema https://t.co/Ujyp8hSOkS","0","1","0","1655891224000","22 Jun 2022","LeshMou/status/1539545497408622593","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Nota | Salary | ChrisExcel | JuliusMalema"
"@SSpambz","Sibo Spambz","Le weather yakuthola ungekho approved for finance ye moto socula ama Gugu kini 🥶 #musa #round2 #fraser #chrisexcel #masks","0","0","0","1655965516000","23 Jun 2022","SSpambz/status/1539857100968435714","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","musa | round2 | fraser | chrisexcel | masks"
"@LatestNewsIntl","Latest News Channel","NPA confident in the Gupta’s extradition.#matenas @#chrisexcel #bahumi #incaseyoumissedit #xoli #loadshedding #albany #statecapturereport #salary https://t.co/D7J5GBCGiV","1","0","0","1655911355000","22 Jun 2022","LatestNewsIntl/status/1539629932678156288","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","matenas | chrisexcel | bahumi | incaseyoumissedit | xoli | loadshedding | albany | statecapturereport | salary"
"@nhliziyo_Jobe","NhliziyoJobe","#sowetoshutdown #ChrisExcel https://t.co/Kow9Dpxl2Q","0","0","0","1655840844000","21 Jun 2022","nhliziyo_Jobe/status/1539334187433459714","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","sowetoshutdown | ChrisExcel"
"@LerekoMotaung","Lereko","Bespoke. Contemporary . High End #ChrisVsSamke #KaizerChiefs #chrisExcel #drMotsoaledi 0765023755 https://t.co/7gKM3v1Y4J","0","0","2","1655901214000","22 Jun 2022","LerekoMotaung/status/1539587399033970688","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisVsSamke | KaizerChiefs | chrisExcel | drMotsoaledi"
"@ChrisExcel","Chris","HUS has new postage statement/amount ... $200 less than estimate!","0","0","0","1236801098000","11 Mar 2009","ChrisExcel/status/1312312838","https://twitter.com/chrisExcel?lang=en",""
"@Tizo_Bati","BATI 🇿🇦","Converted a picture of My Wife & Son in to the morden day version of this Iconic Picture 😊 #Art #Pictures #AskAMan #Mask #PhalaPhalaFarmGate #Amakhosi4Life #Samke #ChrisExcel @KaizerChiefs @ChrisExcel102 @MichaelBucwa #Loadshedding #EFFMarchForJobs #SouthAfrica https://t.co/WKeItqM9Nj","0","0","9","1656065131000","24 Jun 2022","Tizo_Bati/status/1540274914342473735","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Art | Pictures | AskAMan | Mask | PhalaPhalaFarmGate | Amakhosi4Life | Samke | ChrisExcel | Loadshedding | EFFMarchForJobs | SouthAfrica"
"@DaddyCo77522727","Daddy-kurlos","It's fun hw Chris always warn you guys abt girls, last nighta girl expose hime, lool😂😂 RESPECT FOR WOMEN 🙏🙌😂😂😂 #Chrisexcel","0","0","0","1655867426000","22 Jun 2022","DaddyCo77522727/status/1539445681815007232","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Chrisexcel"
"@SSpambz","Sibo Spambz","Imagine bashing huns daily kanti udla imali ye prostitute 😩😩 #chrisexcel #samke","0","0","1","1655844770000","21 Jun 2022","SSpambz/status/1539350653008588801","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | samke"
"@ChrisExcel","Chris","HUS Select is an occupant list, I'll delete 250 ""random"" records for deletion.","0","0","0","1236870841000","12 Mar 2009","ChrisExcel/status/1316428907","https://twitter.com/chrisExcel?lang=en",""
"@Jaybo225","Jaybo","So Twitter is Run by Xhosa people in SA. Didn't realize this till now. Shout out to the Xhosa Nation #ChrisExcel #Nomagugu #Thembi #MrSmeg #Samke","0","0","1","1656035296000","24 Jun 2022","Jaybo225/status/1540149778432069632","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | Nomagugu | Thembi | MrSmeg | Samke"
"@MUST_BE_KOKETSO","TheCloutChasser.ZA","You won a CASKET [PART 4!] PRANK on PARENTS⚰️😂😂😂 https://t.co/DYd5dYM6yj #iamRicky @iamRicky_rsa #RoadTo10K🤲🏽😩🔥🔥🔥 Please Like, Comment , SUSTRIBE & SHARE with your Friends .❤️ #Pitbull #sowetoshutdown #Zinhle #panyaza #kelvinmomo #nyaope #johannesburg #YouTubeSA https://t.co/f7KpdzpnfG","1","14","19","1655808899000","21 Jun 2022","MUST_BE_KOKETSO/status/1539200202137026560","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","iamRicky | RoadTo10K | Pitbull | sowetoshutdown | Zinhle | panyaza | kelvinmomo | nyaope | johannesburg | YouTubeSA"
"@SetroAmake","SETRO AMAKE","Dont be afraid to do the right thing #Thuli #earthquake #MrSmeg #RichMnisi #ChrisVsSamke #ChrisExcel #Twar #discorddown #fearwomen #portable","0","0","1","1655879352000","22 Jun 2022","SetroAmake/status/1539495702186889218","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Thuli | earthquake | MrSmeg | RichMnisi | ChrisVsSamke | ChrisExcel | Twar | discorddown | fearwomen | portable"
"@ClickinEntprise","C.E.O 🌦️🌴","How would you feel If someone exposed your HIV status on this bird app #chrisexcel #kyagulanyi #Allan","0","0","1","1655892455000","22 Jun 2022","ClickinEntprise/status/1539550659116146688","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | kyagulanyi | Allan"
"@ChrisExcel","Chris","Please send me the new names HUS wants added to their list.","0","0","0","1236873661000","12 Mar 2009","ChrisExcel/status/1316670487","https://twitter.com/chrisExcel?lang=en",""
"@XeeTells","Xee Tells","Dj Zinhle Quotes Bonang | Thuli P Makes $ a Gig 😳 | New music from Bucie? #chris excel #chrisexcel #samkele https://t.co/hvoTb9BDir","0","0","1","1655882849000","22 Jun 2022","XeeTells/status/1539510371505020931","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chris | chrisexcel | samkele"
"@jobsplanetSA","JobsplanetSA🇿🇦","#JobSeekersSA #Job #ChrisExcel VACANCY! VACANCY! VACANCY! VACANCY! https://t.co/YJBPs3QuRW","0","0","1","1655889918000","22 Jun 2022","jobsplanetSA/status/1539540018460516353","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","JobSeekersSA | Job | ChrisExcel"
"@M_P_C__","Majestic_premium_collection","Super double drawn 30” with a 30” 2x6 closure #samke #chrisExcel https://t.co/PWSZUrwcXm","1","2","6","1655844008000","21 Jun 2022","M_P_C__/status/1539347458572042241","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","samke | chrisExcel"
"@MrSTKhumalo","Mr ST Khumalo","Nasty C doing what he's good at! #StateCaptureReport #earthquake #matenas #Chrisexcel https://t.co/3xogGK9kNq","1","5","19","1655916166000","22 Jun 2022","MrSTKhumalo/status/1539650110664998913","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","StateCaptureReport | earthquake | matenas | Chrisexcel"
"@Munaka_Wamani","Mopani Worms 🐛","#chrisexcel #Round2 #matenase #Vendatwitter #VhuvhambadziDrive #DjSbu #MopaniWorms #GirlTalkZA ♥️ https://t.co/S0ZG2AtwwC","1","13","17","1655920427000","22 Jun 2022","Munaka_Wamani/status/1539667981302890496","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | Round2 | matenase | Vendatwitter | VhuvhambadziDrive | DjSbu | MopaniWorms | GirlTalkZA"
"@Ernestfigo","#KePeba #PutSouthAfricansFirst","""Once You Go Black,You'll Never Go Back"" #Matenas #ChrisExcel #Blem #Samke https://t.co/vCVmyeNbK3","11","29","178","1655982549000","23 Jun 2022","Ernestfigo/status/1539928540753313792","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Matenas | ChrisExcel | Blem | Samke"
"@MCisana","Azure","Samke, down...Gogo maweni, down 🤣😂 #chrisExcel gogo maweni https://t.co/An4Q5vWFdz","0","0","0","1656359936000","27 Jun 2022","MCisana/status/1541511416875831296","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisExcel"
"@ESA_CelebNews","E-SA","@ESA_CelebNews Pearl Thusi might be up for an Emmy nomination! https://t.co/R00PvwRWKY #pearlthusi #KanyeWest #Rihanna #chrisexcel #Samke","0","0","0","1655898035000","22 Jun 2022","ESA_CelebNews/status/1539574062988632066","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","pearlthusi | KanyeWest | Rihanna | chrisexcel | Samke"
"@PropagandaPTA","Propaganda Pretoria","#GoldenWednesdays A golden experience.Midweek magic.Tailored for pure entertainment.Phenomenal hospitality. Book now… ⭐️ 7 STAR FACILITY ___ WED 22 JUNE 2022 🎧@GOLDFiNGERS_RSA 🎧@Trevva 🎧@LesdeeDj 🎧@nizhedesoul_ ___ #Samke #chrisexcel #propagandaPTA #t1flavv https://t.co/ugvcTT68Mh","0","3","5","1655868134000","22 Jun 2022","PropagandaPTA/status/1539448649696124929","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","GoldenWednesdays | Samke | chrisexcel | propagandaPTA | t1flavv"
"@Superlove_hair","Superlove hair","Bouncy weaves never go out of style!😆 body link:https://t.co/Rvc9k1Op39 ✈️Free Shipping and 2-4 Bdays delivery in SA . #Samke #Dlozlami #ChrisExcel #diepcitymzansi #TheQueenMzansi #NhlanhlaLux #boblacewig #blackwomenbodyhair https://t.co/ORuNaYaKuA","0","1","3","1655866719000","22 Jun 2022","Superlove_hair/status/1539442714915180544","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | Dlozlami | ChrisExcel | diepcitymzansi | TheQueenMzansi | NhlanhlaLux | boblacewig | blackwomenbodyhair"
"@MbendeniZikhona","Zikhona Mbendeni","#Round2 #ChrisExcel got unlimited WiFi for this one. I’m here for it https://t.co/gtLk3UV0ej","0","0","0","1655917315000","22 Jun 2022","MbendeniZikhona/status/1539654930356633602","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Round2 | ChrisExcel"
"@ChapoteraKevin","SOROJENA (SJ)","#juliasmalema #Chrisexcel https://t.co/vC66ANoSsP","1","0","1","1655883736000","22 Jun 2022","ChapoteraKevin/status/1539514089470365697","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","juliasmalema | Chrisexcel"
"@18Stayela","STAYELA18","Twar round 2 Kanti ayipheli manje sizwa ney indaba esingaz funi…. Personal seng’zwele Cut… Cut.🎬 #samke #Azola #ChrisExcel","0","0","3","1655918091000","22 Jun 2022","18Stayela/status/1539658187032662016","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","samke | Azola | ChrisExcel"
"@1lufefe","Lufefe Njingolo ","Twar🔥 the catfish #ChrisExcel may have been exposed but he’s still undefeated https://t.co/PLlDu5mdbn","0","0","4","1655931899000","22 Jun 2022","1lufefe/status/1539716099385839617","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel"
"@MrDee_deza","David Selemogo","I can already see ⁦⁦@MusaKhawula⁩ TL tomorrow morning ; An unknown ex prostitute was seen parading infront of a backroom which belongs to Azola Tabane aka Chris Excel.. The lost lady is identified as the girlfriend to the well known twitter president. #Samke #chrisexcel https://t.co/9GDkXzdBTr","0","0","13","1655845060000","21 Jun 2022","MrDee_deza/status/1539351871818805248","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | chrisexcel"
"@JoyMathebula9","Joy Mathebula","One major benefit that the mask provided: no one noticed my lips moving when I spoke to myself in public. No one saw, mara manje amahlanya ayaphuma. No more laughing to my own jokes. #RIPmask #Masks #StateCaptureReport #chrisexcel https://t.co/OTlw23bY6j","1","0","1","1655967098000","23 Jun 2022","JoyMathebula9/status/1539863737150095360","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","RIPmask | Masks | StateCaptureReport | chrisexcel"
"@IIshawnII20","Yethu Shawn","Thuli Phongolo A Disgrace For This,Uncle Waffles Too? https://t.co/Y3K6e3zjdW via @YouTube #ChrisVsSamke #chrisexcel #GoFundThemba","0","0","0","1655880998000","22 Jun 2022","IIshawnII20/status/1539502607256981505","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisVsSamke | chrisexcel | GoFundThemba"
"@dontdoubturvibe","#DontDoubturVibe ⭐️🇿🇦⭐️ 💙","If someone posted my matric results & university records, along with ALL the crazy stuff I've done- I'll have nothing to worry about. Haha. Might even score followers. #Chrisexcel #samke","0","0","0","1655967337000","23 Jun 2022","dontdoubturvibe/status/1539864737932091392","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Chrisexcel | samke"
"@ChrisExcel","Chris","Just approved ryobi proof - ryan","0","0","0","1236781253000","11 Mar 2009","ChrisExcel/status/1310727347","https://twitter.com/chrisExcel?lang=en",""
"@MasterFale","Master Fale","When Slik Talk called #Maphorisa a ""Squidward from Spongebob looking nikka"" Total Disrespect!!!😂😂😂😋 #kanye #ChrisExcel #Samke #Twar #Bobby #Azealia #Rama #DjKhaled #Rama #PhalaPhalaFarmGate https://t.co/3mJmfdDp9h","0","0","0","1655862769000","22 Jun 2022","MasterFale/status/1539426148903530497","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Maphorisa | kanye | ChrisExcel | Samke | Twar | Bobby | Azealia | Rama | DjKhaled | Rama | PhalaPhalaFarmGate"
"@Diego23862434","Diego","Restaurant n fast food workers should cover their mouths with masks.Its good hygiene n should be standard practice. #ChrisExcel #masks #AceMagashule #PhalaPhalaFarmGate #BrianMolefe #Zuma #LindiweSisulu","1","2","11","1655970309000","23 Jun 2022","Diego23862434/status/1539877205374910464","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | masks | AceMagashule | PhalaPhalaFarmGate | BrianMolefe | Zuma | LindiweSisulu"
"@jobsplanetSA","JobsplanetSA🇿🇦","#JobSeekersSA #Job #ChrisExcel VACANCY! VACANCY! VACANCY! VACANCY! https://t.co/n3WvI7IoEm","1","0","1","1655890186000","22 Jun 2022","jobsplanetSA/status/1539541143666442240","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","JobSeekersSA | Job | ChrisExcel"
"@mediamaniak","MediaManiak","Is Lobola outdated and sexist? #chrisexcel #twar #pabi #fearwomen #salary https://t.co/eM6pKPW328","0","0","0","1655897957000","22 Jun 2022","mediamaniak/status/1539573737271566337","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | twar | pabi | fearwomen | salary"
"@traviseest","Travis","One day he will go live on instagram simbambe lo🤞🤞🤞 #Masks #LoveIsland #TheUmbrellaAcademy #chrisexcel #LilTjay https://t.co/XXxPfuqzQS","0","0","1","1655965436000","23 Jun 2022","traviseest/status/1539856766116175874","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Masks | LoveIsland | TheUmbrellaAcademy | chrisexcel | LilTjay"
"@MnqobiHadebe3","Mnqobi Hadebe","Mhh #chrisExcel #ChrisVsSamke #samke https://t.co/Ze9wR1eGuA","0","0","0","1655931026000","22 Jun 2022","MnqobiHadebe3/status/1539712436844085250","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisExcel | ChrisVsSamke | samke"
"@ChrisExcel","Chris","Haendig's newsletter is finished and ready for pickup at Mike's copy.","0","0","0","1236781875000","11 Mar 2009","ChrisExcel/status/1310775236","https://twitter.com/chrisExcel?lang=en",""
"@CRoots__","Sive","EP 3|| Vise Melo || Hip Hop Please Watch || Subscribe #PodcastAndChill #blog #contentcreators #twar #ChrisBrown #Chrisexcel #hiphop #sound https://t.co/fRn063gPRC","0","0","1","1655892951000","22 Jun 2022","CRoots__/status/1539552741315514369","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","PodcastAndChill | blog | contentcreators | twar | ChrisBrown | Chrisexcel | hiphop | sound"
"@WorldTrendEpic","Welcome World's","🚨🚨🚨🚨🚨🚨🚨🚨🚨 If you missed the Twar Here are the Highlights Samke vs Chris Excel 👉 https://t.co/4LwDRwymyx #chrisexcel #Samke #MUSICDAY","0","0","0","1655870013000","22 Jun 2022","WorldTrendEpic/status/1539456530780721152","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | Samke | MUSICDAY"
"@MarvinManele","Marv","High value woman kodwa unesishwapha","24","70","172","1655878221000","22 Jun 2022","MarvinManele/status/1539490959733538817","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live",""
"@WDYTMzansi","What Do You Think Mzansi","I guess everyone has their day #ChrisExcel #Samke Chris Excel vs Samke and Others https://t.co/becZ4FYy6Y","0","0","0","1655896811000","22 Jun 2022","WDYTMzansi/status/1539568932557885441","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | Samke"
"@MBCNetworke","MBC Network","I am not a Mafia: Lebogang Maile makes play for ANC Gauteng top job | #ChrisExcel #AzolaTabane | Number 11 | CR17BankStatements | Lindiwe Sisulu | #fearwomen | Yeoville | #StateCaptureReport | https://t.co/GXGhEghN4V","0","0","0","1655889976000","22 Jun 2022","MBCNetworke/status/1539540262409707522","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","ChrisExcel | AzolaTabane | fearwomen | StateCaptureReport"
"@jobsplanetSA","JobsplanetSA🇿🇦","#JobSeekersSA #Job #ChrisExcel VACANCY! VACANCY! VACANCY! VACANCY! https://t.co/GW3nUAB670","0","0","0","1655889647000","22 Jun 2022","jobsplanetSA/status/1539538882462732290","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","JobSeekersSA | Job | ChrisExcel"
"@ChrisExcel","Chris","I'm trying to figure out when to find the time to learn creo/darwin/indesign/cs3, etc. and all that other shtuff!","0","0","0","1236719253000","10 Mar 2009","ChrisExcel/status/1307335948","https://twitter.com/chrisExcel?lang=en",""
"@FxEXAPANDABLES","ForexExapandables","The Art of Time is NOT Wasting It! #SadioMane #Liverpool #Christian #ChrisExcel #HBDThalapathyVijay #earthquake #Samke #ทําไมเจอแต่วิน #SUNOO #جامعة_المنصوره #Glastonbury2022 https://t.co/EOEktTl8t0","0","0","0","1655901300000","22 Jun 2022","FxEXAPANDABLES/status/1539587760545320960","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","SadioMane | Liverpool | Christian | ChrisExcel | HBDThalapathyVijay | earthquake | Samke | ทําไมเจอแต่วิน | SUNOO | جامعة_المنصوره | Glastonbury2022"
"@Karabo_Mamps","Karabo The First Jedi ®","When UNISA honours bursary dropped me, I decided to find a job to pay my fees and I got the census job. However, @StatsSA never paid me a any cent and I had to drop out of my honours studies because I couldn't pay my fees and registration. @podcastwithmacg @StatsSA #chrisexcel https://t.co/Gf0IV6rRz4","1","0","0","1655977457000","23 Jun 2022","Karabo_Mamps/status/1539907182937997313","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel"
"@driving_africa","MK Driving School Africa","Congratulations she got the License Code 14 MK Driving School Africa services we offer License Renewal PDP Renewal Learners License code 8 9 10 License Disc #Masks #itsofficial #ChrisExcel #Liverpool #SouthAfricans https://t.co/bP6hVaVU4m","0","0","1","1655973315000","23 Jun 2022","driving_africa/status/1539889810495660032","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Masks | itsofficial | ChrisExcel | Liverpool | SouthAfricans"
"@ThabaangMogapi","Thabang Mogapi","@bnt_shuttles Book Your First class seat to avoid disappointment 🏂🏔🇱🇸 #chrisexcel #mtanese #Round2 https://t.co/0FxlOkC50a","0","0","0","1655922685000","22 Jun 2022","ThabaangMogapi/status/1539677454989672456","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","chrisexcel | mtanese | Round2"
"@KamogeloLetsoa2","Kamogelo Letsoalo","Greatest mystery in South Africa is who is mozekezeke,became we haven't figured that out. #Samke #chrisExcel #RichMnisi","0","0","0","1655843397000","21 Jun 2022","KamogeloLetsoa2/status/1539344894824701953","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","Samke | chrisExcel | RichMnisi"
"@ChrisExcel","Chris","I don't see artwork on PP server for the Horsemen For Christ newsletter ... do we need to contact client?","0","0","0","1236783976000","11 Mar 2009","ChrisExcel/status/1310939868","https://twitter.com/chrisExcel?lang=en",""
"@MotlokwaM","Tsotetsi ML","#DrMotsoaledi for President #Xoli #IncaseYouMissedIt #ChrisExcel #StateCaptureReport #Salary #Zondo","0","0","0","1655906864000","22 Jun 2022","MotlokwaM/status/1539611095148658688","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live","DrMotsoaledi | Xoli | IncaseYouMissedIt | ChrisExcel | StateCaptureReport | Salary | Zondo"
"@Naija_PR","Naija","Ladies, did she faint???? https://t.co/Vgjqez1KYu","188","260","1115","1655994700000","23 Jun 2022","Naija_PR/status/1539979505254768640","https://twitter.com/hashtag/chrisExcel?src=hashtag_click&f=live",""
